compensation_id,employee_id,salary,bonus,date_updated
1,69,67539.69,133.3,2023-02-10
2,39,64403.99,930.74,2022-09-28
3,94,21940.38,399.18,2022-08-16
4,53,39496.21,574.84,2023-05-06
5,43,28917.77,432.98,2023-07-11
6,76,29526.26,529.8,2023-02-09
7,133,85350.11,814.91,2023-07-30
8,37,58315.24,321.23,2023-03-21
9,111,44006.97,190.91,2023-06-01
10,133,98597.32,981.61,2023-02-21
11,94,85866.43,658.47,2022-08-30
12,18,66070.3,249.76,2022-09-20
13,142,85282.86,433.11,2023-01-25
14,68,79205.14,192.85,2022-08-29
15,13,33241.99,868.1,2022-09-09
16,98,43243.29,270.42,2023-06-27
17,75,34668.13,745.82,2022-08-16
18,98,95329.2,943.41,2023-03-10
19,28,11165.32,901.57,2023-03-20
20,148,41943.45,846.58,2022-09-25
21,145,61952.38,443.44,2023-04-19
22,36,43333.34,883.96,2023-07-06
23,25,96027.52,251.19,2023-03-05
24,140,77231.9,554.93,2023-07-22
25,113,98253.7,353.88,2023-07-13
26,1,45952.35,579.6,2022-10-24
27,133,51785.95,868.59,2023-01-29
28,93,46598.64,486.7,2023-01-20
29,88,17275.63,806.43,2023-01-30
30,149,68806.81,430.46,2023-05-11
31,46,18088.43,711.56,2022-12-29
32,29,19431.62,620.35,2023-04-19
33,27,77915.65,977.9,2023-05-18
34,6,41044.99,588.76,2022-11-19
35,15,33222.58,639.23,2023-05-03
36,74,82921.24,430.74,2023-03-19
37,17,76781.75,395.78,2023-08-11
38,49,34494.9,316.59,2022-09-25
39,118,11274.7,289.55,2023-01-26
40,119,79990.58,934.54,2023-02-02
41,33,54508.84,563.99,2023-05-17
42,142,42721.94,923.21,2023-04-20
43,120,98756.45,789.17,2023-06-17
44,74,54966.3,497.48,2023-06-15
45,87,55347.66,521.71,2023-08-05
46,21,19296.86,441.82,2023-07-03
47,26,16523.32,846.69,2023-01-19
48,41,57463.6,504.38,2022-12-26
49,108,23280.28,312.91,2022-11-24
50,141,66359.21,898.19,2023-04-27
51,28,95005.89,671.69,2023-02-02
52,109,65501.61,410.56,2023-01-21
53,104,13971.64,984.6,2022-12-20
54,132,58299.48,576.57,2022-10-22
55,63,40723.45,709.1,2022-10-24
56,107,27457.65,853.19,2023-04-14
57,94,44359.86,612.18,2022-09-13
58,92,30693.52,637.57,2023-02-05
59,114,38539.91,145.92,2023-07-08
60,24,28929.68,368.17,2023-04-11
61,78,97497.39,245.75,2023-07-16
62,118,51852.87,817.85,2022-10-18
63,98,71136.43,223.15,2023-08-04
64,105,94056.33,310.62,2022-11-30
65,145,70221.9,833.76,2022-08-19
66,106,93239.53,811.36,2022-10-05
67,40,60072.2,317.8,2023-04-02
68,113,80776.53,489.86,2022-10-19
69,124,89173.25,442.75,2022-09-11
70,66,90268.88,960.36,2023-05-15
71,147,77364.82,944.64,2023-03-23
72,110,97281.92,359.6,2023-07-27
73,129,26154.51,244.66,2022-09-11
74,13,55036.22,970.44,2023-03-28
75,135,25049.37,382.4,2022-09-12
76,13,38844.66,592.46,2023-07-31
77,150,56158.2,377.73,2023-01-21
78,12,68539.91,764.42,2022-09-24
79,112,86656.95,640.73,2022-09-04
80,128,20987.47,790.89,2022-12-04
81,43,61440.74,915.47,2023-01-27
82,63,26150.21,728.14,2022-09-19
83,31,78961.16,612.18,2022-11-04
84,60,15353.29,450.22,2022-09-19
85,67,34209.2,974.73,2022-12-10
86,78,54151.49,203.7,2022-09-08
87,128,22085.1,396.29,2022-11-06
88,55,37821.28,905.77,2023-05-04
89,96,37891.25,599.14,2023-05-14
90,23,85649.2,174.22,2022-12-04
91,112,86429.25,701.2,2023-07-14
92,108,16729.51,903.12,2023-05-13
93,147,46611.19,580.12,2023-03-06
94,105,51821.55,709.64,2023-04-25
95,68,83252.78,236.5,2022-10-11
96,60,60701.3,572.58,2023-01-17
97,20,45865.7,247.53,2023-07-09
98,29,30839.2,589.1,2023-06-27
99,38,82868.89,425.22,2023-05-08
100,131,66777.72,312.54,2023-01-26
101,144,93082.42,623.91,2022-09-12
102,67,42116.38,965.59,2022-11-29
103,125,48420.83,243.47,2022-10-28
104,131,41863.69,618.58,2023-06-18
105,14,34685.44,239.89,2022-08-30
106,105,79480.1,181.81,2023-03-05
107,52,43959.15,729.98,2022-11-16
108,131,57214.73,945.12,2023-07-11
109,2,34171.39,238.16,2023-03-22
110,146,23668.73,488.44,2022-10-22
111,91,82716.12,684.8,2022-10-17
112,27,56867.13,865.84,2022-10-27
113,111,37936.84,857.34,2022-08-19
114,53,26124.46,425.35,2022-08-31
115,25,57829.33,722.1,2022-10-04
116,85,14678.81,228.68,2023-05-28
117,47,25603.1,250.55,2023-05-04
118,58,77303.22,908.89,2022-12-23
119,119,74587.5,449.49,2022-09-04
120,63,28024.38,513.24,2022-11-12
121,58,44787.38,406.4,2023-03-04
122,50,67335.36,885.33,2023-01-09
123,41,39081.88,460.57,2023-04-26
124,54,93934.98,819.22,2023-06-23
125,145,40079.52,977.89,2022-11-08
126,39,55535.63,204.58,2023-05-01
127,44,20435.58,943.68,2023-04-27
128,139,22549.88,948.81,2023-03-16
129,70,24272.22,161.22,2023-07-04
130,123,57569.76,364.59,2023-07-12
131,144,14598.48,917.88,2023-02-21
132,84,91343.55,905.81,2023-02-01
133,142,22780.65,681.77,2023-05-04
134,65,25428.3,546.81,2022-08-26
135,60,26671.22,866.57,2022-09-11
136,122,76812.99,290.33,2022-11-25
137,149,63528.77,322.23,2023-07-16
138,1,12509.39,222.88,2022-11-25
139,90,51942.45,772.56,2023-05-17
140,83,96522.89,860.65,2023-03-26
141,80,45602.45,435.6,2023-04-02
142,40,90356.55,363.64,2023-07-01
143,39,16766.39,670.59,2023-03-06
144,23,62881.13,112.93,2023-06-14
145,29,50467.37,345.66,2022-10-14
146,137,68258.14,990.9,2023-05-14
147,74,42158.71,378.21,2023-02-27
148,40,71366.51,134.44,2023-04-16
149,2,76974.25,464.35,2022-09-13
150,58,46570.11,665.95,2023-05-23
