position_id,title,primary_skillsets,level,next_level
1,Position 1,Total local migration,Senior,2
2,Position 2,Reduced 3rdgeneration focus group,Senior,3
3,Position 3,Grass-roots high-level approach,Senior,4
4,Position 4,Centralized mission-critical throughput,Mid,5
5,Position 5,Self-enabling 3rdgeneration challenge,Senior,6
6,Position 6,Ergonomic multimedia implementation,Mid,7
7,Position 7,Multi-layered maximized Graphic Interface,Mid,8
8,Position 8,Persistent static website,Junior,9
9,Position 9,Right-sized value-added Internet solution,Junior,
10,Position 10,Self-enabling logistical pricing structure,Mid,
